location,bhk,total_sqft,bath,price,sqft_per_bedroom
Electronic City Phase II,2,1056.0,2.0,39.07,528.0
Chikka Tirupathi,4,2600.0,5.0,120.0,650.0
Uttarahalli,3,1440.0,2.0,62.0,480.0
Lingadheeranahalli,3,1521.0,3.0,95.0,507.0
Kothanur,2,1200.0,2.0,51.0,600.0
Whitefield,2,1170.0,2.0,38.0,585.0
Old Airport Road,4,2732.0,4.0,204.0,683.0
Rajaji Nagar,4,3300.0,4.0,600.0,825.0
Marathahalli,3,1310.0,3.0,63.25,436.6666666666667
Gandhi Bazar,6,1020.0,6.0,370.0,170.0
Whitefield,3,1800.0,2.0,70.0,600.0
Whitefield,4,2785.0,5.0,295.0,696.25
7th Phase JP Nagar,2,1000.0,2.0,38.0,500.0
Gottigere,2,1100.0,2.0,40.0,550.0
Sarjapur,3,2250.0,3.0,148.0,750.0
Mysore Road,2,1175.0,2.0,73.5,587.5
Bisuvanahalli,3,1180.0,3.0,48.0,393.3333333333333
Raja Rajeshwari Nagar,3,1540.0,3.0,60.0,513.3333333333334
Ramakrishnappa Layout,3,2770.0,4.0,290.0,923.3333333333334
Manayata Tech Park,2,1100.0,2.0,48.0,550.0
Kengeri,1,600.0,1.0,15.0,600.0
Binny Pete,3,1755.0,3.0,122.0,585.0
Thanisandra,4,2800.0,5.0,380.0,700.0
Bellandur,3,1767.0,3.0,103.0,589.0
 Thanisandra,1,510.0,1.0,25.25,510.0
Mangammanapalya,3,1250.0,3.0,56.0,416.6666666666667
Electronic City,2,660.0,1.0,23.1,330.0
Whitefield,3,1610.0,3.0,81.0,536.6666666666666
Ramagondanahalli,2,1151.0,2.0,48.77,575.5
Electronic City,3,1025.0,2.0,47.0,341.6666666666667
Yelahanka,4,2475.0,4.0,186.0,618.75
Bisuvanahalli,3,1075.0,2.0,35.0,358.3333333333333
Hebbal,3,1760.0,2.0,123.0,586.6666666666666
Raja Rajeshwari Nagar,3,1693.0,3.0,57.39,564.3333333333334
Kasturi Nagar,3,1925.0,3.0,125.0,641.6666666666666
Kanakpura Road,2,700.0,2.0,36.0,350.0
Electronics City Phase 1,2,1070.0,2.0,45.5,535.0
Kundalahalli,3,1724.0,3.0,125.0,574.6666666666666
Chikkalasandra,3,1290.0,2.0,56.12,430.0
Uttarahalli,2,1143.0,2.0,45.0,571.5
Murugeshpalya,2,1296.0,2.0,81.0,648.0
Sarjapur  Road,3,1254.0,3.0,38.0,418.0
Ganga Nagar,1,600.0,1.0,38.0,600.0
Yelahanka,1,660.0,1.0,48.0,660.0
Kanakpura Road,2,1330.74,2.0,91.79,665.37
HSR Layout,8,600.0,9.0,200.0,75.0
Doddathoguru,2,970.0,2.0,33.0,485.0
Whitefield,2,1459.0,2.0,94.82,729.5
KR Puram,2,800.0,1.0,130.0,400.0
Himagiri Meadows,2,869.0,2.0,36.0,434.5
Adarsh Nagar,2,1270.0,2.0,50.0,635.0
Bhoganhalli,3,1670.0,3.0,99.0,556.6666666666666
Whitefield,3,2010.0,3.0,91.0,670.0
Lakshminarayana Pura,2,1185.0,2.0,75.0,592.5
Yelahanka,3,1600.0,2.0,75.0,533.3333333333334
Begur Road,2,1200.0,2.0,44.0,600.0
Ramakrishnappa Layout,2,1500.0,2.0,185.0,750.0
Murugeshpalya,6,1407.0,4.0,150.0,234.5
Govindaraja Nagar Ward,2,840.0,2.0,45.0,420.0
Tharabanahalli,3,4395.0,3.0,240.0,1465.0
Ganga Nagar,2,845.0,2.0,55.0,422.5
Whitefield,4,5700.0,5.0,650.0,1425.0
Varthur,2,1160.0,2.0,44.0,580.0
Bommanahalli,8,3000.0,8.0,140.0,375.0
Doddathoguru,2,1100.0,2.0,62.0,550.0
Gunjur,2,1140.0,2.0,43.0,570.0
Marathahalli,2,1220.0,2.0,57.0,610.0
Devarachikkanahalli,8,1350.0,7.0,85.0,168.75
Kanakpura Road,2,1005.0,2.0,36.68,502.5
Double Road,3,500.0,3.0,100.0,166.66666666666666
Begur Road,2,1358.0,2.0,80.58,679.0
Hegde Nagar,3,1569.0,3.0,101.0,523.0
Haralur Road,2,1240.0,2.0,70.0,620.0
Hennur Road,3,2089.0,3.0,140.0,696.3333333333334
Kothannur,2,1206.0,2.0,48.23,603.0
Kalena Agrahara,2,1150.0,2.0,40.0,575.0
Cholanayakanahalli,3,2511.0,3.0,205.0,837.0
Kaval Byrasandra,2,460.0,1.0,22.0,230.0
ISRO Layout,6,4400.0,6.0,250.0,733.3333333333334
Kodanda Reddy Layout,3,1660.0,2.0,105.0,553.3333333333334
Yelahanka,2,1326.0,2.0,78.0,663.0
Garudachar Palya,3,1325.0,2.0,60.8,441.6666666666667
EPIP Zone,3,1499.0,5.0,102.0,499.6666666666667
Hegde Nagar,6,3000.0,7.0,210.0,500.0
Kanakpura Road,3,1665.0,3.0,88.0,555.0
Dasanapura,2,708.0,2.0,37.0,354.0
Kasavanhalli,2,1060.0,2.0,58.06,530.0
Rajaji Nagar,6,710.0,6.0,160.0,118.33333333333333
Sanjay nagar,2,1000.0,2.0,70.0,500.0
Electronic City,2,1000.0,2.0,28.88,500.0
 Mysore Highway,3,1450.0,2.0,70.0,483.3333333333333
ISRO Layout,4,1200.0,4.0,155.0,300.0
Thanisandra,2,1296.0,2.0,80.0,648.0
Domlur,3,1540.0,3.0,90.0,513.3333333333334
Kengeri,4,2894.0,4.0,245.0,723.5
